FBpp0111290 RpS28-like
FBpp0081384 mRpL19
FBpp0078689 Trip1
FBpp0085193 F2
FBpp0087475 Adam
FBpp0078667 eIF-3p40
FBpp0301570 eIF5B
FBpp0076238 mRpL12
FBpp0086013 eIF3-S8
FBpp0071587 CG10306
FBpp0302563 mRpL17
FBpp0072081 eIF-5A
FBpp0305828 ATPsynbeta
FBpp0073144 mRpS6
FBpp0077141 mRpL27
FBpp0078584 eIF3-S10
FBpp0079542 eEF1delta
FBpp0305426 mRpL21
FBpp0081263 mRpS9
FBpp0076458 mRpL36
FBpp0071302 Aats-lys
FBpp0070430 CG8636
FBpp0084761 Ef1gamma
FBpp0086705 Tango7
FBpp0302048 MRpS16
FBpp0075104 Int6
FBpp0078532 CG9769
FBpp0076284 pix
FBpp0082994 eIF-1A
FBpp0075754 CG5642
FBpp0070280 Rab27
FBpp0071431 Rph
FBpp0070283 O-fut2
FBpp0290391 loh
FBpp0087006 CG17739
FBpp0086649 O-fut1
FBpp0086606 mspo
FBpp0289140 CG42339
FBpp0070284 Ns3
FBpp0077998 CG7338
FBpp0082928 l(3)07882
FBpp0074510 MKP-4
FBpp0291670 CG7845
FBpp0088519 CG5033
FBpp0076827 CG10576
FBpp0306150 CG6769
FBpp0079607 Ip259
FBpp0076918 pen
FBpp0079445 CG4364
FBpp0081001 CG9246
FBpp0087045 CG8545
FBpp0079780 CG6724
FBpp0082984 Non3
FBpp0076417 MED24
FBpp0077722 MED15
FBpp0070298 Vps26
FBpp0077206 Snx1
FBpp0071685 Vps35
FBpp0297300 Snx6
FBpp0077625 Vps29
FBpp0070808 CG32758
FBpp0077938 CG4074
FBpp0082110 Snx3
FBpp0082246 CG8449
FBpp0075947 wls
FBpp0070299 CG14805
FBpp0087322 CG12325
FBpp0081117 CG1234
FBpp0087323 nclb
FBpp0086063 Ns2
FBpp0077735 Nle
FBpp0076990 l(1)G0004
FBpp0073098 CG11583
FBpp0087865 Rs1
FBpp0073943 CG8939
FBpp0087461 CG1671
